0,0,0,0
16,0.001886792,0.002857143,0.002857143
32,0.007075472,0.009795918,0.011428571
48,0.016509434,0.020408163,0.026190476
64,0.033018868,0.040816327,0.052380952
80,0.066037736,0.07755102,0.1
96,0.122641509,0.146938776,0.176190476
112,0.200471698,0.236734694,0.280952381
128,0.311320755,0.355102041,0.40952381
144,0.433962264,0.481632653,0.547619048
160,0.556603774,0.604081633,0.671428571
176,0.660377358,0.706122449,0.761904762
192,0.754716981,0.787755102,0.838095238
208,0.83490566,0.857142857,0.895238095
224,0.900943396,0.910204082,0.938095238
240,0.955188679,0.959183673,0.971428571
256,1,1,1
